STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
115190,99999, 20100510,   54.6,16,   48.1,16, 1007.5,16,  977.5,16,  12.2,16,   2.7,16,   7.8, 999.9,   61.7*,  50.2*,99.99 ,999.9, 010000,
115190,99999, 20100511,   58.8,16,   53.1,16, 1006.4,16,  976.8,16,   8.5,16,   4.5,16,   7.8, 999.9,   66.7*,  51.8*,99.99 ,999.9, 010010,
115190,99999, 20100512,   59.7,16,   46.9,16, 1006.6,16,  977.0,16,  28.0,16,   6.4,16,  11.7, 999.9,   66.0*,  54.5*,99.99 ,999.9, 010000,
115190,99999, 20100513,   54.1,16,   43.8,16, 1008.8,16,  978.8,16,  12.9,16,   6.8,16,   9.7, 999.9,   60.8*,  49.1*, 0.00I,999.9, 000000,
115190,99999, 20100514,   47.2,16,   43.8,16, 1009.4,16,  978.9,16,   9.7,16,   6.4,16,   7.8, 999.9,   48.7*,  45.9*,99.99 ,999.9, 010000,
115190,99999, 20100515,   47.3,16,   39.9,16, 1008.7,16,  978.3,16,  13.8,16,   7.0,16,  11.7, 999.9,   51.4*,  44.4*, 0.00I,999.9, 000000,
115190,99999, 20100516,   50.9,16,   37.2,16, 1011.6,16,  981.3,16,  15.7,16,  11.0,16,  15.5,  25.3,   56.3*,  44.6*, 0.00I,999.9, 000000,
115190,99999, 20100517,   54.9,16,   38.7,16, 1017.4,16,  987.1,16,  16.7,16,  11.8,16,  15.5,  25.3,   60.4*,  48.9*, 0.00I,999.9, 000000,
115190,99999, 20100518,   51.3,16,   38.1,16, 1021.1,16,  990.5,16,  16.3,16,  11.3,16,  15.5,  27.2,   54.3*,  47.7*,99.99 ,999.9, 010000,
115190,99999, 20100519,   46.8,16,   42.4,16, 1020.8,16,  990.0,16,  11.4,16,   7.8,16,  11.7, 999.9,   48.0*,  46.0*,99.99 ,999.9, 010000,
115190,99999, 20100520,   54.2,16,   48.3,16, 1024.9,16,  994.5,16,  10.5,16,   3.5,16,   5.8, 999.9,   60.3*,  46.9*, 0.00I,999.9, 000000,
115190,99999, 20100521,   59.1,16,   51.8,16, 1024.9,16,  994.7,16,  11.1,15,   7.3,16,  11.7, 999.9,   64.4*,  53.8*,99.99 ,999.9, 010000,
115190,99999, 20100522,   63.3,16,   49.3,16, 1022.2,16,  992.3,16,  11.3,16,   5.5,16,   9.7, 999.9,   72.0*,  56.3*,99.99 ,999.9, 010000,
115190,99999, 20100523,   62.9,16,   50.9,16, 1019.2,16,  989.4,16,  11.1,16,   5.0,16,   9.7, 999.9,   70.0*,  56.5*,99.99 ,999.9, 010000,
115190,99999, 20100524,   62.5,16,   53.1,16, 1011.6,16,  982.0,16,  13.0,16,   6.3,16,  13.6,  29.1,   73.2*,  56.1*,99.99 ,999.9, 010010,
115190,99999, 20100525,   60.0,16,   49.6,16, 1010.5,16,  980.8,16,  13.6,16,   6.6,16,  11.7, 999.9,   67.6*,  52.7*,99.99 ,999.9, 110000,
115190,99999, 20100526,   55.9,16,   47.1,16, 1009.8,16,  979.9,16,  10.7,16,   3.4,16,   7.8, 999.9,   63.1*,  51.8*,99.99 ,999.9, 010000,
115190,99999, 20100527,   58.2,16,   51.5,16, 1009.0,16,  979.3,16,  11.4,16,   5.0,16,  11.7, 999.9,   66.7*,  53.1*,99.99 ,999.9, 110000,
115190,99999, 20100528,   60.9,16,   50.8,16, 1013.7,16,  984.0,16,  15.3,16,   5.7,16,  11.7, 999.9,   71.8*,  50.7*,99.99 ,999.9, 010000,
115190,99999, 20100529,   62.4,16,   46.5,16, 1018.5,16,  988.6,16,  13.2,16,   3.4,16,   5.8, 999.9,   68.9*,  54.7*, 0.00I,999.9, 000000,
115190,99999, 20100530,   59.5,16,   50.6,16, 1008.4,16,  978.8,16,  21.9,16,   6.9,16,  13.6,  21.4,   66.9*,  53.1*,99.99 ,999.9, 010000,
