udaj,kod,url,budid,idob
V Registru sčítacích obvodů a budov:,1000153932,buddet.jsp?budid=219703&idob=1000153932&b=0,219703,1000153932
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=219703&idob=1000153932&b=0,219703,1000153932
V Informačním systému katastru nemovitostí:,892140101,buddet.jsp?budid=219703&idob=1000153932&b=0,219703,1000153932
V informačním systému základního registru RÚIAN:,21777683,buddet.jsp?budid=219703&idob=1000153932&b=0,219703,1000153932
V Registru sčítacích obvodů a budov:,1000154033,buddet.jsp?budid=219715&idob=1000154033&b=0,219715,1000154033
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=219715&idob=1000154033&b=0,219715,1000154033
V Informačním systému katastru nemovitostí:,892753101,buddet.jsp?budid=219715&idob=1000154033&b=0,219715,1000154033
V informačním systému základního registru RÚIAN:,21777781,buddet.jsp?budid=219715&idob=1000154033&b=0,219715,1000154033
V Registru sčítacích obvodů a budov:,1000154041,buddet.jsp?budid=219716&idob=1000154041&b=0,219716,1000154041
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=219716&idob=1000154041&b=0,219716,1000154041
V Informačním systému katastru nemovitostí:,892275101,buddet.jsp?budid=219716&idob=1000154041&b=0,219716,1000154041
V informačním systému základního registru RÚIAN:,21777799,buddet.jsp?budid=219716&idob=1000154041&b=0,219716,1000154041
V Registru sčítacích obvodů a budov:,1000154149,buddet.jsp?budid=219726&idob=1000154149&b=0,219726,1000154149
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=219726&idob=1000154149&b=0,219726,1000154149
V Informačním systému katastru nemovitostí:,892397101,buddet.jsp?budid=219726&idob=1000154149&b=0,219726,1000154149
V informačním systému základního registru RÚIAN:,21777896,buddet.jsp?budid=219726&idob=1000154149&b=0,219726,1000154149
V Registru sčítacích obvodů a budov:,1000154190,buddet.jsp?budid=219731&idob=1000154190&b=0,219731,1000154190
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=219731&idob=1000154190&b=0,219731,1000154190
V Informačním systému katastru nemovitostí:,892562101,buddet.jsp?budid=219731&idob=1000154190&b=0,219731,1000154190
V informačním systému základního registru RÚIAN:,21777942,buddet.jsp?budid=219731&idob=1000154190&b=0,219731,1000154190
V Registru sčítacích obvodů a budov:,1000154262,buddet.jsp?budid=685141&idob=1000154262&b=0,685141,1000154262
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=685141&idob=1000154262&b=0,685141,1000154262
V Informačním systému katastru nemovitostí:,892178101,buddet.jsp?budid=685141&idob=1000154262&b=0,685141,1000154262
V informačním systému základního registru RÚIAN:,21778019,buddet.jsp?budid=685141&idob=1000154262&b=0,685141,1000154262
V Registru sčítacích obvodů a budov:,1000154904,buddet.jsp?budid=219790&idob=1000154904&b=0,219790,1000154904
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=219790&idob=1000154904&b=0,219790,1000154904
V Informačním systému katastru nemovitostí:,892128101,buddet.jsp?budid=219790&idob=1000154904&b=0,219790,1000154904
V informačním systému základního registru RÚIAN:,21778655,buddet.jsp?budid=219790&idob=1000154904&b=0,219790,1000154904
V Registru sčítacích obvodů a budov:,1000158047,buddet.jsp?budid=685154&idob=1000158047&b=0,685154,1000158047
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=685154&idob=1000158047&b=0,685154,1000158047
V Informačním systému katastru nemovitostí:,892413101,buddet.jsp?budid=685154&idob=1000158047&b=0,685154,1000158047
V informačním systému základního registru RÚIAN:,21781818,buddet.jsp?budid=685154&idob=1000158047&b=0,685154,1000158047
V Registru sčítacích obvodů a budov:,1000158381,buddet.jsp?budid=220095&idob=1000158381&b=0,220095,1000158381
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=220095&idob=1000158381&b=0,220095,1000158381
