udaj,kod,text,idob,budid
Identifikátor adresy RÚIAN,21947937,,1000158462,220105
Okres,40924,Praha,1000158471,220106
Městský obvod Prahy,43,Praha 4,1000158471,220106
Obec,554782,Praha,1000158471,220106
Část obce,490156,Nusle,1000158471,220106
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000158471,220106
PSČ a adresní pošta,14000,Praha 4,1000158471,220106
Ulice,458651,Na Pankráci,1000158471,220106
Číslo domovní,975,číslo popisné,1000158471,220106
Číslo orientační,95,,1000158471,220106
Typ adresy,1,Hlavní adresa,1000158471,220106
Zadní vchod,0,ne,1000158471,220106
Identifikátor adresy RSO (IDADR),30000074535,,1000158471,220106
Identifikátor adresy ISEO (PČD),2471552,,1000158471,220106
Identifikátor adresy RÚIAN,21947945,,1000158471,220106
Okres,40924,Praha,1000158489,220107
Městský obvod Prahy,43,Praha 4,1000158489,220107
Obec,554782,Praha,1000158489,220107
Část obce,490156,Nusle,1000158489,220107
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000158489,220107
PSČ a adresní pošta,14000,Praha 4,1000158489,220107
Ulice,458651,Na Pankráci,1000158489,220107
Číslo domovní,976,číslo popisné,1000158489,220107
Číslo orientační,99,,1000158489,220107
Typ adresy,1,Hlavní adresa,1000158489,220107
Zadní vchod,0,ne,1000158489,220107
Identifikátor adresy RSO (IDADR),30000522708,,1000158489,220107
Identifikátor adresy ISEO (PČD),2471554,,1000158489,220107
Identifikátor adresy RÚIAN,21947961,,1000158489,220107
Okres,40924,Praha,1000159884,220227
Městský obvod Prahy,43,Praha 4,1000159884,220227
Obec,554782,Praha,1000159884,220227
Část obce,490156,Nusle,1000159884,220227
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000159884,220227
PSČ a adresní pošta,14000,Praha 4,1000159884,220227
Ulice,458651,Na Pankráci,1000159884,220227
Číslo domovní,1144,číslo popisné,1000159884,220227
Číslo orientační,103,,1000159884,220227
Typ adresy,1,Hlavní adresa,1000159884,220227
Zadní vchod,0,ne,1000159884,220227
Identifikátor adresy RSO (IDADR),30000525812,,1000159884,220227
Identifikátor adresy ISEO (PČD),2471671,,1000159884,220227
Identifikátor adresy RÚIAN,21949468,,1000159884,220227
Okres,40924,Praha,1000159892,3349346
Městský obvod Prahy,43,Praha 4,1000159892,3349346
Obec,554782,Praha,1000159892,3349346
Část obce,490156,Nusle,1000159892,3349346
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000159892,3349346
PSČ a adresní pošta,14000,Praha 4,1000159892,3349346
Ulice,458651,Na Pankráci,1000159892,3349346
Číslo domovní,1145,číslo popisné,1000159892,3349346
Číslo orientační,105,,1000159892,3349346
Typ adresy,1,Hlavní adresa,1000159892,3349346
Zadní vchod,0,ne,1000159892,3349346
Identifikátor adresy RSO (IDADR),30000525821,,1000159892,3349346
Identifikátor adresy ISEO (PČD),2471672,,1000159892,3349346
Identifikátor adresy RÚIAN,21949476,,1000159892,3349346
Okres,40924,Praha,1000159906,3349347
Městský obvod Prahy,43,Praha 4,1000159906,3349347
Obec,554782,Praha,1000159906,3349347
Část obce,490156,Nusle,1000159906,3349347
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000159906,3349347
PSČ a adresní pošta,14000,Praha 4,1000159906,3349347
Ulice,458651,Na Pankráci,1000159906,3349347
Číslo domovní,1146,číslo popisné,1000159906,3349347
Číslo orientační,107,,1000159906,3349347
Typ adresy,1,Hlavní adresa,1000159906,3349347
Zadní vchod,0,ne,1000159906,3349347
Identifikátor adresy RSO (IDADR),30000525839,,1000159906,3349347
Identifikátor adresy ISEO (PČD),2471673,,1000159906,3349347
Identifikátor adresy RÚIAN,21949484,,1000159906,3349347
Okres,40924,Praha,1000161269,220347
Městský obvod Prahy,43,Praha 4,1000161269,220347
Obec,554782,Praha,1000161269,220347
Část obce,490156,Nusle,1000161269,220347
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000161269,220347
PSČ a adresní pošta,14000,Praha 4,1000161269,220347
Ulice,458651,Na Pankráci,1000161269,220347
Číslo domovní,1291,číslo popisné,1000161269,220347
Číslo orientační,101,,1000161269,220347
Typ adresy,1,Hlavní adresa,1000161269,220347
Zadní vchod,0,ne,1000161269,220347
Identifikátor adresy RSO (IDADR),30000531324,,1000161269,220347
Identifikátor adresy ISEO (PČD),2471924,,1000161269,220347
Identifikátor adresy RÚIAN,21950857,,1000161269,220347
Okres,40924,Praha,1000161374,220356
Městský obvod Prahy,43,Praha 4,1000161374,220356
Obec,554782,Praha,1000161374,220356
Část obce,490156,Nusle,1000161374,220356
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000161374,220356
PSČ a adresní pošta,14000,Praha 4,1000161374,220356
Ulice,469025,Sevřená,1000161374,220356
Číslo domovní,1302,číslo popisné,1000161374,220356
Číslo orientační,8,,1000161374,220356
Typ adresy,1,Hlavní adresa,1000161374,220356
Zadní vchod,0,ne,1000161374,220356
Identifikátor adresy RSO (IDADR),30000531421,,1000161374,220356
Identifikátor adresy ISEO (PČD),2471938,,1000161374,220356
Identifikátor adresy RÚIAN,21950962,,1000161374,220356
Okres,40924,Praha,1000153932,219703
