Údaj,Hodnota,Kód,Text,url,budid,idob
Připojení budovy na odpad:,NA,1,Přípoj na kanalizační síť,buddet.jsp?budid=211785&idob=1000055299&b=0,211785,1000055299
Připojení budovy na vodovod:,NA,1,s vodovodem,buddet.jsp?budid=211785&idob=1000055299&b=0,211785,1000055299
Způsob vytápění budovy:,NA,4,jiné (i bez topení),buddet.jsp?budid=211785&idob=1000055299&b=0,211785,1000055299
Připojení budovy na plyn:,NA,1,Plyn z veřejné sítě,buddet.jsp?budid=211785&idob=1000055299&b=0,211785,1000055299
Druh plynu:,NA,NA,,buddet.jsp?budid=211785&idob=1000055299&b=0,211785,1000055299
Topné médium - hlavní:,NA,NA,,buddet.jsp?budid=211785&idob=1000055299&b=0,211785,1000055299
Topné médium - vedlejší:,NA,NA,,buddet.jsp?budid=211785&idob=1000055299&b=0,211785,1000055299
Počet evidovaných obyvatel v budově:,NA,3,3 - 5,buddet.jsp?budid=211785&idob=1000055299&b=0,211785,1000055299
Druh domu dle SLDB:,NA,4,Bytový dům,buddet.jsp?budid=211785&idob=1000055299&b=0,211785,1000055299
Počet nadzemních podlaží domu dle SLDB:,NA,4,4 podlaží,buddet.jsp?budid=211785&idob=1000055299&b=0,211785,1000055299
Druh vlastníka domu dle SLDB:,NA,6,Jiná právnická osoba,buddet.jsp?budid=211785&idob=1000055299&b=0,211785,1000055299
Způsob vytápění domu dle SLDB:,NA,8,Bez ústředního topení,buddet.jsp?budid=211785&idob=1000055299&b=0,211785,1000055299
Připojení domu na vodovod dle SLDB:,NA,1,Vodovod v domě - z veřejné sítě,buddet.jsp?budid=211785&idob=1000055299&b=0,211785,1000055299
Období výstavby nebo rekonstrukce domu dle SLDB:,NA,10,1919 a dříve,buddet.jsp?budid=211785&idob=1000055299&b=0,211785,1000055299
Počet obyvatel v budově dle SLDB - trvalý pobyt:,NA,3,3 - 5,buddet.jsp?budid=211785&idob=1000055299&b=0,211785,1000055299
Počet obyvatel v budově dle SLDB - obvyklý pobyt:,NA,4,6 - 9,buddet.jsp?budid=211785&idob=1000055299&b=0,211785,1000055299
Druh vlastníka budovy:,NA,4,ostatní právnické osoby,buddet.jsp?budid=211787&idob=1000055311&b=0,211787,1000055311
Počet všech podlaží budovy:,5,5,5 podlaží,buddet.jsp?budid=211787&idob=1000055311&b=0,211787,1000055311
Počet bytů v budově (vchodu):,11,7,10-14 bytů,buddet.jsp?budid=211787&idob=1000055311&b=0,211787,1000055311
Vybavení budovy výtahem:,NA,2,bez výtahu,buddet.jsp?budid=211787&idob=1000055311&b=0,211787,1000055311
Obestavěný prostor budovy v m3:,NA,NA,,buddet.jsp?budid=211787&idob=1000055311&b=0,211787,1000055311
Zastavěná plocha budovy v m2:,NA,NA,,buddet.jsp?budid=211787&idob=1000055311&b=0,211787,1000055311
Podlahová plocha budovy v m2:,NA,NA,,buddet.jsp?budid=211787&idob=1000055311&b=0,211787,1000055311
Materiál nosných zdí budovy:,NA,10,"Kámen, cihly, tvárnice vč. kombinací",buddet.jsp?budid=211787&idob=1000055311&b=0,211787,1000055311
Připojení budovy na odpad:,NA,1,Přípoj na kanalizační síť,buddet.jsp?budid=211787&idob=1000055311&b=0,211787,1000055311
